source,row_index,log_prob,continuous_log_prob,event_structure_log_prob,nll,mask_pattern,primary_slot,event_risk
tail_all,194,193.33379,194.24286,-0.90907377,-193.33379,17,same_front,1.019568
tail_all,195,181.97449,182.88356,-0.90907377,-181.97449,17,same_front,1.0075661
tail_all,196,199.09529,200.00436,-0.90907377,-199.09529,17,same_front,0.98697454
tail_all,197,237.22078,238.12985,-0.90907377,-237.22078,17,same_front,0.9665426
tail_all,198,80.26079,82.45982,-2.199037,-80.26079,51,same_front,0.96148247
tail_all,199,43.807007,45.894173,-2.087167,-43.807007,51,same_rear,0.96096206
tail_all,200,59.749504,61.83667,-2.087167,-59.749504,51,same_rear,0.95358795
tail_all,201,72.37125,74.45841,-2.087167,-72.37125,51,same_rear,0.94593215
tail_all,202,72.73758,74.936615,-2.199037,-72.73758,51,same_front,0.943179
tail_all,203,84.89898,86.986145,-2.087167,-84.89898,51,same_rear,0.93783706
tail_all,204,199.83371,200.74278,-0.90907377,-199.83371,17,same_front,0.89688414
tail_all,205,77.60837,79.8074,-2.199037,-77.60837,51,same_front,0.8886994
tail_all,206,153.27817,155.84856,-2.5703964,-153.27817,21,same_front,0.8831503
tail_all,207,35.290337,37.489372,-2.199037,-35.290337,51,same_front,0.8769924
tail_all,208,249.74007,250.64914,-0.90907377,-249.74007,17,same_front,0.87094
tail_all,209,49.374657,51.461823,-2.087167,-49.374657,51,same_rear,0.86922216
tail_all,210,89.484634,90.39371,-0.90907377,-89.484634,17,same_front,0.8691548
tail_all,211,-142.01317,-141.1041,-0.90907377,142.01317,17,same_front,0.86887485
tail_all,212,228.95543,229.8645,-0.90907377,-228.95543,17,same_front,0.8687402
tail_all,213,69.12071,71.31975,-2.199037,-69.12071,51,same_front,0.8663751
tail_all,214,234.99437,235.90344,-0.90907377,-234.99437,17,same_front,0.8663565
tail_all,215,26.347965,30.198112,-3.8501477,-26.347965,63,same_rear,0.86133015
tail_all,216,-90.13366,-84.83126,-5.3024,90.13366,15,same_rear,0.8559595
tail_all,217,52.848755,58.60314,-5.754385,-52.848755,15,same_front,0.8519983
tail_all,218,24.964115,28.77259,-3.808475,-24.964115,63,same_front,0.8517268
tail_all,219,148.37039,150.94078,-2.5703964,-148.37039,21,same_front,0.84844166
tail_all,220,116.096405,118.6668,-2.5703964,-116.096405,21,same_front,0.8392115
tail_all,221,214.07408,214.98315,-0.90907377,-214.07408,17,same_front,0.83786803
tail_all,222,32.542973,36.39312,-3.8501477,-32.542973,63,same_rear,0.83679706
tail_all,223,88.51265,90.599815,-2.087167,-88.51265,51,same_rear,0.8334939
tail_all,224,117.83386,123.7424,-5.9085355,-117.83386,13,same_front,0.8314302
tail_all,225,91.42715,93.62618,-2.199037,-91.42715,51,same_front,0.8301111
tail_all,226,233.19867,234.10774,-0.90907377,-233.19867,17,same_front,0.8172769
tail_all,227,252.32335,253.23242,-0.90907377,-252.32335,17,same_front,0.8062564
tail_all,228,6.164593,9.973068,-3.808475,-6.164593,63,same_front,0.80174863
tail_all,229,-20.647861,-16.797714,-3.8501477,20.647861,63,same_rear,0.7996616
tail_all,230,62.276398,67.14348,-4.8670816,-62.276398,51,right_rear,0.7982257
tail_all,231,14.006605,16.205643,-2.199037,-14.006605,51,same_front,0.7972703
tail_all,232,156.94427,157.85335,-0.90907377,-156.94427,17,same_front,0.7942715
tail_all,233,-39.717506,-37.63034,-2.087167,39.717506,51,same_rear,0.79347646
tail_all,234,226.41179,227.32086,-0.90907377,-226.41179,17,same_front,0.79274154
tail_all,235,35.69689,37.784058,-2.087167,-35.69689,51,same_rear,0.7781516
tail_all,236,40.52534,46.146194,-5.6208534,-40.52534,47,same_rear,0.7777805
tail_all,237,12.335293,16.18544,-3.8501477,-12.335293,63,same_rear,0.77537674
tail_all,238,227.56808,228.47716,-0.90907377,-227.56808,17,same_front,0.7751495
tail_all,239,142.29483,144.86523,-2.5703964,-142.29483,21,same_front,0.77493465
tail_all,240,252.7351,253.64418,-0.90907377,-252.7351,17,same_front,0.7682835
tail_all,241,-306.19257,-303.99353,-2.199037,306.19257,51,same_front,0.7637644
tail_all,242,-65.16037,-59.539513,-5.6208534,65.16037,47,same_front,0.75835025
tail_all,243,33.43128,37.281425,-3.8501477,-33.43128,63,same_rear,0.7512329
tail_all,244,208.83824,209.74731,-0.90907377,-208.83824,17,same_front,0.7498159
tail_all,245,49.057304,51.25634,-2.199037,-49.057304,51,same_front,0.7465512
tail_all,246,30.551428,32.638596,-2.087167,-30.551428,51,same_rear,0.7394583
tail_all,247,89.479454,91.56662,-2.087167,-89.479454,51,same_rear,0.73757064
tail_all,248,90.74333,92.94237,-2.199037,-90.74333,51,same_front,0.73757064
tail_all,249,242.87923,243.7883,-0.90907377,-242.87923,17,same_front,0.73639065
tail_all,250,138.87013,143.04407,-4.1739345,-138.87013,17,right_front,0.7354026
tail_all,251,199.65392,200.56299,-0.90907377,-199.65392,17,same_front,0.72689915
tail_all,252,220.84279,221.75186,-0.90907377,-220.84279,17,same_front,0.725118
tail_all,253,50.964485,53.05165,-2.087167,-50.964485,51,same_rear,0.72143245
tail_all,254,76.08299,79.83205,-3.7490516,-76.08299,49,same_front,0.7213846
tail_all,255,190.71913,191.6282,-0.90907377,-190.71913,17,same_front,1.1755108
tail_all,256,199.89906,200.80814,-0.90907377,-199.89906,17,same_front,1.1175776
tail_all,257,240.10983,241.0189,-0.90907377,-240.10983,17,same_front,1.0987284
tail_all,258,220.60268,221.51175,-0.90907377,-220.60268,17,same_front,1.0892498
tail_all,259,129.86041,134.2285,-4.3680906,-129.86041,21,left_front,1.0739179
tail_all,260,0.5534959,2.752533,-2.199037,-0.5534959,51,same_front,1.0039837
tail_all,261,203.42805,204.33713,-0.90907377,-203.42805,17,same_front,0.98338413
tail_all,262,25.200796,27.287964,-2.087167,-25.200796,51,same_rear,0.966869
tail_all,263,63.38948,65.58852,-2.199037,-63.38948,51,same_front,0.95612717
tail_all,264,225.06447,225.97354,-0.90907377,-225.06447,17,same_front,0.931166
tail_all,265,152.32556,154.89597,-2.5703964,-152.32556,21,same_front,0.9153687
tail_all,266,-59.651833,-57.564667,-2.087167,59.651833,51,same_rear,0.90154403
tail_all,267,134.1808,135.08987,-0.90907377,-134.1808,17,same_front,0.9004005
tail_all,268,250.42204,251.33112,-0.90907377,-250.42204,17,same_front,0.8940684
tail_all,269,62.846573,65.04561,-2.199037,-62.846573,51,same_front,0.88592744
tail_all,270,-11.907387,-9.33699,-2.5703964,11.907387,21,same_front,0.884075
tail_all,271,247.14229,248.05136,-0.90907377,-247.14229,17,same_front,0.88390076
tail_all,272,178.4088,179.31787,-0.90907377,-178.4088,17,same_front,0.87779546
tail_all,273,20.528444,24.277496,-3.7490516,-20.528444,49,same_front,0.87746984
tail_all,274,67.2013,69.28847,-2.087167,-67.2013,51,same_rear,0.86583287
tail_all,275,237.61977,238.52884,-0.90907377,-237.61977,17,same_front,0.8620184
tail_all,276,252.13306,253.04213,-0.90907377,-252.13306,17,same_front,0.8617125
tail_all,277,239.84003,240.7491,-0.90907377,-239.84003,17,same_front,0.8579202
tail_all,278,240.37196,241.28104,-0.90907377,-240.37196,17,same_front,0.857495
tail_all,279,85.9324,88.13144,-2.199037,-85.9324,51,same_front,0.8558784
tail_all,280,77.89697,80.09601,-2.199037,-77.89697,51,same_front,0.8544103
tail_all,281,83.89351,85.980675,-2.087167,-83.89351,51,same_rear,0.84842885
tail_all,282,143.47556,146.04596,-2.5703964,-143.47556,21,same_front,0.8442936
tail_all,283,138.26764,140.83803,-2.5703964,-138.26764,21,same_front,0.8428205
tail_all,284,75.65079,77.73795,-2.087167,-75.65079,51,same_rear,0.8416019
tail_all,285,42.969124,45.05629,-2.087167,-42.969124,51,same_rear,0.84058565
tail_all,286,248.10847,249.01755,-0.90907377,-248.10847,17,same_front,0.83981276
tail_all,287,52.691547,58.600082,-5.9085355,-52.691547,51,right_front,0.83598626
tail_all,288,52.37323,54.572266,-2.199037,-52.37323,51,same_front,0.83498365
tail_all,289,52.9767,59.578384,-6.6016827,-52.9767,23,same_front,0.8216287
tail_all,290,69.1832,71.27036,-2.087167,-69.1832,51,same_rear,0.8128976
tail_all,291,66.45477,68.65381,-2.199037,-66.45477,51,same_front,0.80960536
tail_all,292,216.5117,217.42078,-0.90907377,-216.5117,17,same_front,0.8005643
tail_all,293,123.71382,126.28422,-2.5703964,-123.71382,21,same_front,0.78998154
tail_all,294,60.50798,62.595146,-2.087167,-60.50798,51,same_rear,0.787469
tail_all,295,88.264885,90.35205,-2.087167,-88.264885,51,same_rear,0.78646576
tail_all,296,182.70021,186.87415,-4.1739345,-182.70021,17,right_front,0.7861073
tail_all,297,88.16363,90.734024,-2.5703964,-88.16363,21,same_front,0.78400993
tail_all,298,240.49873,241.4078,-0.90907377,-240.49873,17,same_front,0.78264993
tail_all,299,93.719696,95.80686,-2.087167,-93.719696,51,same_rear,0.7748876
tail_all,300,257.0787,257.9878,-0.90907377,-257.0787,17,same_front,0.77263385
tail_all,301,228.08553,228.9946,-0.90907377,-228.08553,17,same_front,0.77171147
tail_all,302,80.074715,82.27375,-2.199037,-80.074715,51,same_front,0.76993716
tail_all,303,226.20796,227.11703,-0.90907377,-226.20796,17,same_front,0.76114583
tail_all,304,248.22821,249.13728,-0.90907377,-248.22821,17,same_front,0.7610379
tail_all,305,140.18805,142.75845,-2.5703964,-140.18805,21,same_front,0.7606306
tail_all,306,43.197704,48.818558,-5.6208534,-43.197704,31,same_rear,0.7545532
tail_all,307,220.59767,221.50674,-0.90907377,-220.59767,17,same_front,0.7513318
tail_all,308,30.393269,36.301804,-5.9085355,-30.393269,63,left_rear,0.74655974
tail_all,309,78.51181,85.113495,-6.6016827,-78.51181,23,same_front,0.74590087
tail_all,310,251.62941,252.53848,-0.90907377,-251.62941,17,same_front,0.7455825
tail_all,311,182.7357,186.58585,-3.8501477,-182.7357,5,same_front,0.74552524
tail_all,312,12.722164,16.53064,-3.808475,-12.722164,63,same_front,0.74383783
tail_all,313,223.47528,227.30438,-3.8290942,-223.47528,1,same_front,0.74314046
tail_all,314,238.01666,238.92574,-0.90907377,-238.01666,17,same_front,0.74099255
tail_all,315,101.92908,104.01624,-2.087167,-101.92908,51,same_rear,0.7352857
tail_all,316,151.7276,154.298,-2.5703964,-151.7276,21,same_front,0.7321973
tail_all,317,96.78159,98.98063,-2.199037,-96.78159,51,same_front,0.72929597
tail_all,318,138.57535,141.14574,-2.5703964,-138.57535,21,same_front,0.7273925
tail_all,319,20.899242,24.74939,-3.8501477,-20.899242,63,same_rear,0.72503006
tail_all,320,18.786701,22.595177,-3.808475,-18.786701,63,same_front,0.724969
tail_all,321,123.85652,128.22461,-4.3680906,-123.85652,21,left_front,0.72461325
tail_all,322,127.78949,131.53854,-3.7490516,-127.78949,49,same_front,0.7236395
tail_all,323,235.03325,235.94232,-0.90907377,-235.03325,17,same_front,0.7220057
tail_all,324,232.22737,233.13644,-0.90907377,-232.22737,17,same_front,1.1421324
tail_all,325,201.59023,202.4993,-0.90907377,-201.59023,17,same_front,1.1051344
